index,1,2,3,4,5,6,7,8,9,10,11,12
Zmk_chuadanga   ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Jessore     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Khulna      ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Satkhira    ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Chittagong  ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Ambagan(Ctg),no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Cox'sbazar  ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend
Zmk_Feni        ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Rangamati   ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend
Zmk_Sitakunda   ,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend
Zmk_Teknaf      ,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend
Zmk_Bogra       ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,decreasing,no trend
Zmk_Dinajpur    ,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,decreasing
Zmk_Ishurdi     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Rajshahi    ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Rangpur     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,decreasing
Zmk_sydpur      ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend
Zmk_Srimangal   ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Sylhet      ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Barisal     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Bhola       ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Hatiya      ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Khepupara   ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend
Zmk_Kutubdia    ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend
Zmk_M.court     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,increasing,no trend,no trend
Zmk_Mongla      ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Patuakhali  ,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend
Zmk_Sandwip     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Chandpur    ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Comilla     ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Dhaka       ,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend
Zmk_Faridpur,no trend,no trend,decreasing,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Madaripur   ,no trend,no trend,decreasing,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Mymensingh  ,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
Zmk_Tangail     ,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend
